id,Area,landuse,RVK,VVK,Povodi
"12",79118.102905273437500,les,0.000000000000000,"0",BP
"1",611993.520812988281250,les,0.000000000000000,"0",BP
"2",1093701.267395019531250,les,0.000000000000000,"0",BP
"6",14987.109863281250000,les,0.000000000000000,"0",BP
"5",14915.882324218751819,les,0.000000000000000,"0",BP
"9",45632.048522949226026,les,0.000000000000000,"0",BP
"4",11337.263000488281250,or,378.000000000000000,"125",BP
"15",101221.890991210937500,or,378.000000000000000,"125",BP
"18",330727.903320312500000,or,378.000000000000000,"125",BP
"17",190878.091125488281250,or,378.000000000000000,"125",BP
"14",100434.591064453125000,or,371.000000000000000,"122",BP
"13",80188.582885742187500,or,348.000000000000000,"76",BP
"11",58500.826904296875000,or,399.000000000000000,"136",BP
"16",159974.488525390595896,or,399.000000000000000,"136",BP
"3",9646.325622558593750,or,294.000000000000000,"119",BP
"10",47760.058593750000000,niva,86.000000000000000,"107",BP
"8",43591.811950683593750,niva,75.000000000000000,"107",BP
"7",41789.196960449218750,or,371.000000000000000,"122",BP
"19",2860.387084960937500,or,75.000000000000000,"122",BP
"20",14539.199707031251819,urb,0.000000000000000,"0",BP
"21",25420.734985351562500,niva,0.000000000000000,"0",BP
"22",4333.849548339843750,urb,0.000000000000000,"0",BP
"23",18217.040222167968750,or,256.000000000000000,"119",BP
"24",2504.458496093749545,urb,0.000000000000000,"0",BP
"25",4696.353820800781250,urb,0.000000000000000,"0",BP
"26",62823.073303222656250,or,294.000000000000000,"119",BP
"27",471943.262023925781250,or,294.000000000000000,"119",BP
"28",211011.972473144531250,or,371.000000000000000,"122",BP
"29",394295.079101562500000,or,378.000000000000000,"125",BP
"30",24343.858886718750000,or,329.000000000000000,"125",BP
"31",17736.819824218750000,or,256.000000000000000,"119",BP
"32",10718.215881347656250,urb,0.000000000000000,"0",BP
"33",20963.450317382812500,or,0.000000000000000,"0",BP
"34",35071.358154296875000,urb,0.000000000000000,"0",BP
"35",31303.839843750000000,or,294.000000000000000,"119",BP
"36",3902.364135742187500,or,256.000000000000000,"119",BP
"37",20441.559143066406250,or,256.000000000000000,"119",BP
"38",2037577.044433593750000,les,0.000000000000000,"0",KL
"39",48894.044067382812500,les,0.000000000000000,"0",KL
"40",18323.622741699218750,les,0.000000000000000,"0",KL
"41",137304.604797363281250,or,371.000000000000000,"122",KL
"42",43457.627563476562500,or,294.000000000000000,"119",KL
"43",18409.418945312500000,niva,378.000000000000000,"125",KL
"44",21852.992675781250000,urb,0.000000000000000,"0",KL
"45",124665.211730957031250,or,378.000000000000000,"125",KL
"46",97170.355285644531250,or,378.000000000000000,"125",KL
"47",5239.232788085937500,or,294.000000000000000,"119",KL
"48",295695.179748535156250,or,378.000000000000000,"125",KL
"49",87151.980346679687500,or,378.000000000000000,"125",KL
"50",34480.381652832031250,or,294.000000000000000,"119",KL
"51",45239.034179687500000,or,378.000000000000000,"125",KL
"52",83893.195190429672948,or,294.000000000000000,"119",KL
"53",111125.028869628906250,or,294.000000000000000,"119",KL
"54",20944.079345703125000,or,378.000000000000000,"125",KL
"55",16454.796020507812500,or,294.000000000000000,"119",KL
