Povodi	chp14s
Brezova	1-13-02-0010-1-00-00
Brezova	1-13-02-0130-0-00-00
Brezova	1-13-02-0140-0-00-00
Brezova	1-13-02-0150-0-00-00
Brezova	1-13-02-0160-0-00-00
Brezova	1-13-02-0170-0-00-00
Brezova	1-13-02-0180-0-00-00
Brezova	1-13-02-0190-0-00-00
Brezova	1-13-02-0200-0-00-00
Brezova	1-13-02-0210-1-00-40
Brezova	1-13-02-0210-1-00-60
Brezova	1-13-02-0210-1-00-90
Brezova	1-13-02-0010-2-00-10
Brezova	1-13-02-0010-2-00-90
Brezova	1-13-02-0020-0-00-00
Brezova	1-13-02-0030-0-00-00
Brezova	1-13-02-0040-0-00-00
Brezova	1-13-02-0050-0-00-00
Brezova	1-13-02-0060-0-10-00
Brezova	1-13-02-0060-0-20-00
Brezova	1-13-02-0070-0-00-00
Brezova	1-13-02-0080-0-00-40
Brezova	1-13-02-0080-0-00-90
Brezova	1-13-02-0090-0-00-00
Brezova	1-13-02-0100-0-00-00
Brezova	1-13-02-0110-0-00-00
Brezova	1-13-02-0120-0-00-00
Stanovice	1-13-02-0220-0-00-00
Stanovice	1-13-02-0230-0-00-00
Stanovice	1-13-02-0240-0-00-00
Stanovice	1-13-02-0250-0-00-00
Stanovice	1-13-02-0260-0-00-00
Stanovice	1-13-02-0270-0-00-00
Stanovice	1-13-02-0280-0-00-20
Stanovice	1-13-02-0280-0-00-90
Stanovice	1-13-02-0290-0-00-00
Stanovice	1-13-02-0300-1-00-00
Tepla	1-13-02-0010-1-00-00
Tepla	1-13-02-0130-0-00-00
Tepla	1-13-02-0140-0-00-00
Tepla	1-13-02-0150-0-00-00
Tepla	1-13-02-0160-0-00-00
Tepla	1-13-02-0170-0-00-00
Tepla	1-13-02-0180-0-00-00
Tepla	1-13-02-0190-0-00-00
Tepla	1-13-02-0200-0-00-00
Tepla	1-13-02-0210-1-00-40
Tepla	1-13-02-0210-1-00-60
Tepla	1-13-02-0210-1-00-90
Tepla	1-13-02-0010-2-00-10
Tepla	1-13-02-0010-2-00-90
Tepla	1-13-02-0020-0-00-00
Tepla	1-13-02-0030-0-00-00
Tepla	1-13-02-0040-0-00-00
Tepla	1-13-02-0050-0-00-00
Tepla	1-13-02-0060-0-10-00
Tepla	1-13-02-0060-0-20-00
Tepla	1-13-02-0070-0-00-00
Tepla	1-13-02-0080-0-00-40
Tepla	1-13-02-0080-0-00-90
Tepla	1-13-02-0090-0-00-00
Tepla	1-13-02-0100-0-00-00
Tepla	1-13-02-0110-0-00-00
Tepla	1-13-02-0120-0-00-00
Tepla	1-13-02-0210-2-00-30
Tepla	1-13-02-0210-2-00-90
Tepla	1-13-02-0220-0-00-00
Tepla	1-13-02-0230-0-00-00
Tepla	1-13-02-0240-0-00-00
Tepla	1-13-02-0250-0-00-00
Tepla	1-13-02-0260-0-00-00
Tepla	1-13-02-0270-0-00-00
Tepla	1-13-02-0280-0-00-20
Tepla	1-13-02-0280-0-00-90
Tepla	1-13-02-0290-0-00-00
Tepla	1-13-02-0300-1-00-00
Tepla	1-13-02-0300-2-00-70
Tepla	1-13-02-0300-2-00-90
Tepla	1-13-02-0310-0-00-00
Tepla	1-13-02-0320-0-00-00
Tepla	1-13-02-0330-0-00-00
